,Title,URL,Address,Description,Class
0,"CARING, NURTURING AND LOVING NANNY AVAILABLE",https://newyork.craigslist.org/mnh/kid/d/caring-nurturing-and-loving/6306844153.html,Battery Park,"
        
Mature, Caring and Loving nanny available to care for your little ones. Trustworthy with over 20 years experience. Responsible for all areas of childcare. Please call 
 
 to discuss your childcare needs. Serious inquiries only please. Thank You

    ",b
1,Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6302708998.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 2 years of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment

Accepting all vouchers and  cash payments
NYC Board of Health Certified
phone:
 
 
Ask for Cynthia



    ",a
13,Emergency or Last minute Care (Drop-in Kids welcome),https://newyork.craigslist.org/que/kid/d/emergency-or-last-minute-care/6306741337.html,Do you need Backup DayCare? We can Help,"
        
Parents can use our drop-off program when there daycare or school is closed,or if you have a appointment or need a date night. 
When ever you need  emergency daycare service we can help just give our daycare office a call.
located south ozone park 11420 near A and J train q37 q41 bus 
________________________________________________________
Do you have a  appointment need last minute daycare? we are here to help. You can use a few hours or full day
Walk-In or DRop-in child Care No Contracts you can use 1 or as many days as you need on a needed basis

please mention the cl ad ""walk in "" when calling. Open monday through sunday 24 hours 



we now introduce to you walk in care with no contracts you can use as many days as you need when ever you need we are always here to help and open our doors with welcoming arms to you and your bundle of joy

we are open most days public schools and regular day care are close
_______________________________________________
call for more info 
 
 between 8am-8pm don't forget to mention cl ad ""walk in"" must have immunization form signed and stamped by doctor before using drop-in care. affordable rates age 6 weeks and up welcome



you receive free meals, large outdoor playground weather permitting, they lean math, reading, writing, art n craft, dramatic play , circle time all age appropriate and more this is just a short over view of services we provide

    ",a
17,License Daycare with Transportation!!,https://newyork.craigslist.org/que/kid/d/license-daycare-with/6302679947.html,4 All Ages Welcome,"
        
Daycare with  Transportation to and from our daycare for our clients for all ages !!!! 
licensed trained and professionals daycare with many credentials !!! 
Enroll now and start we are flexible with hours 

open 24 hours 6 days a week (mon-sat)
license daycare 
*free meals 
*abc's
*trips
*hra vouchers welcome
*transportation rat eased on distance from facility 
*located south ozone park 11420 zip code
*after-school, homework help, tutoring program
*evening & overnight program 
*weekend care
*last minute, emergence drop-in care 
*parent night out 
*potty train no added fee 
*toddler program
*infant program
*preschool program
*wonderful clean  daycare 


For more information, or to visit our center and register,
call daycare admission office call between 8am-8pm 
 
  leave a detail message if we are unavailable 
Location:11420 zip south ozone park
    ",a
18,"Anny Daycare : Vouchers, Private, Speaks English, Se habla Espanol",https://newyork.craigslist.org/brx/kid/d/anny-daycare-vouchers-private/6268850231.html,Broadway / Kingsbridge,"
        
We Accept All Vouchers
Aceptamos todos los Vouchers del Gobierno


We are a group family day care that accepts infants, toddlers and children ages 6 weeks to 12 years of age. We have a capacity of 12 non-school aged children and an additional 4 school aged children

Somos un Day Care que acepta niños de 6 semanas a 12 años de edad. Tenemos una capacidad de 12 niños no escolares y 4 niños de edad escolar


We have a clean and safe environment/ Tenemos un ambiente limpio y seguro
We have a ratio of 1 provider to 4 children/ Tenemos una proporción de 1 proveedor a 4 niños
Three Meals A Day/ Tres comidas al día
A lot of great activities for children of all ages! / 
Un montón de actividades para los niños de todas las edades!


Call now we have 4 slots for children ages 2 to 12 and two slots for Infants!

¡Llámanos ahora tenemos 4 espacios para niños de 2 a 12 años y dos espacios para bebés!

Prices are affordable!!! 
Tenemos buenos precios!!!

Call now/ llame ahora!
Phone: 
 

email: 
 
    ",a
19,💃Start Weekend Daycare This Weekend,https://newyork.craigslist.org/que/kid/d/start-weekend-daycare-this/6306746393.html,Open 24 hours,"
        
💃open 24 hours 7 days a week 
we accept ages 6 weeks and up 
license daycare open every Saturday and Sunday parents can use daycare service as often as you need.
Parents do you work or run errands we are here to help 
parents can use just a few hours,a full day, parents can pick the # of hours

Listed below is  a short over view of some of the services we offer 
*infant nursery
*toddler program
*preschool program 
*Tie Dye a T-shirt or pillow case
💃* tutoring
*exercise 
*free meals
*dance 
*yoga (we will be practicing )
*zumba (we will be practicing )
* musical chairs
💃*homework help
*arts n craft
*new friends

💃*dedicated to 1 on 1 attention located near a e and j trains and lirr many buses and ample street parking 

💃Staff members are always on hand to help with a project, or answer any other questions you may have.please call  to register your child in program  use service as often as you need 

 

    ",a
20,Overnight Daycare,https://newyork.craigslist.org/que/kid/d/overnight-daycare/6306745793.html,open 24hr mon-sun all ages,"
        
-
24 hours 7days a week daycare 
free healthy meals loving dedicated daycare providers 
mon-fri kids 2 years and up full-time are 
Overnight childcare rates for mon-fri 

ask for weekend rates ask for part time and for kids less than 2 years 
walk-in welcome 
free meals 
location:11420 zip south ozone park 11420
for more info call daycare office 
 
 call between 8am-8pm    ",a
21,Anny Group Family Daycare: We accept vouchers/ aceptamos vouchers!,https://newyork.craigslist.org/brx/kid/d/anny-group-family-daycare-we/6303990867.html,10463 / Broadway,"
        
We Accept All Vouchers
Aceptamos todos los Vouchers del Gobierno


We are a group family day care that accepts infants, toddlers and children ages 6 weeks to 12 years of age. We have a capacity of 12 non-school aged children and an additional 4 school aged children

Somos un Day Care que acepta niños de 6 semanas a 12 años de edad. Tenemos una capacidad de 12 niños no escolares y 4 niños de edad escolar


We have a clean and safe environment/ Tenemos un ambiente limpio y seguro
We have a ratio of 1 provider to 4 children/ Tenemos una proporción de 1 proveedor a 4 niños
Three Meals A Day/ Tres comidas al día
A lot of great activities for children of all ages! / 
Un montón de  actividades para los niños de todas las edades!


Call now we have 4 slots for children ages 2 to 12 and two slots for Infants!

¡Llámanos ahora tenemos 4 espacios para niños de 2 a 12 años y dos espacios para bebés!

Prices are affordable!!! 
Tenemos buenos precios!!!

Call now/ llame ahora!
Phone: 
 

email: 
 

    ",a
22,"◈Daycare,open 24hr/7days wk,tods,infant,weekend,overnight,",https://newyork.craigslist.org/brk/kid/d/daycareopen-24hr-7days/6306748522.html,"Free meal,playground,classrooms,ALL Ages","
        
◈open Monday to Sunday 24 hour license daycare located (easy commute accessible to all trains not far from Brooklyn at all )(Google location for travel time )  near a train 
CPR and 1st aid trained, finger printed and ,background check,
We accept all vouchers
Ãƒâ€šÃ‚Â¢♥Loving,Caring Child Care Available Â¢♥ WE ACCEPT ALL Ages 
 24-hr Child Care is available to you Daycare 24 Hours 7 Days a Week ((11420 zip code )) we accept all ages


Register your child in a fun, loving and educational environment
Affordable Rates.
daycare kids wearing uniform enroll in toddler & preschool program 

*Licensed by New York State
*CPR & First Aide Certified
*15 hr Health and Safety Certificate
*Decade of Experience


ÃƒÂ¢♥Loving,Caring Child Care Available
Call for rates open 24 hours 7 days a week 
If you have any questions or would like to visit our facility feel free to contact the director @ 
 
.
    ",a
23,SCREENED NANNY AVAILABLE PT,https://newyork.craigslist.org/mnh/kid/d/screened-nanny-available-pt/6306766269.html,Brooklyn,"
        

Hi everyone

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR. I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also.

My typical day would consist of going to the library for reading flash cards and socialization. Can take to the museum and the park weather permitting. I can teach Spanish if you'd like. Looking to work in many places. Williamsburg Park Slope UWS LES East Village etc.

I am also a PA love booking travel, paying bills ordering online running errands and doing Airbnb is my second favorite childcare is tops!


My schedule is:

Mondays available all day

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    ",b
