Title,URL,Address,Description
"CARING, NURTURING AND LOVING NANNY AVAILABLE",https://newyork.craigslist.org/mnh/kid/d/caring-nurturing-and-loving/6306844153.html,Battery Park,"
        
Mature, Caring and Loving nanny available to care for your little ones. Trustworthy with over 20 years experience. Responsible for all areas of childcare. Please call 
 
 to discuss your childcare needs. Serious inquiries only please. Thank You

    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6302708998.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 2 years of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment

Accepting all vouchers and  cash payments
NYC Board of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6302699251.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 1 year of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment
After school pick up

Accepting all vouchers and  cash payments
NYC Department  of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6300081000.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 2 years of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment
After school pick up

Accepting all vouchers and  cash payments
NYC Board of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6302701668.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 1 year of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment

Accepting all vouchers and  cash payments
NYC Department  of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6288948144.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 2 years of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment
After school pick up

Accepting all vouchers and  cash payments
NYC Board of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6300700794.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 1 year of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment

Accepting all vouchers and  cash payments
NYC Department  of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6304076333.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 1 year of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment
After school pick up 

Accepting all vouchers and  cash payments
NYC Department  of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6288997195.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 1 year of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment
After school pick up

Accepting all vouchers and  cash payments
NYC Department  of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6300081159.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 2 years of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment

Accepting all vouchers and  cash payments
NYC Board of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6304057711.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 1 year of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment
After school pick up 

Accepting all vouchers and  cash payments
NYC Department  of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6302698436.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 1 year  through 12 years 
Planned activities
Nutritious meals
Structured environment
After school pick up

Accepting all vouchers and  cash payments
NYC Department  of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6304056714.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 1 year of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment
After school pick up 

Accepting all vouchers and  cash payments
NYC Department of Health Certified
phone:
 
 
Ask for Cynthia



    "
Emergency or Last minute Care (Drop-in Kids welcome),https://newyork.craigslist.org/que/kid/d/emergency-or-last-minute-care/6306741337.html,Do you need Backup DayCare? We can Help,"
        
Parents can use our drop-off program when there daycare or school is closed,or if you have a appointment or need a date night. 
When ever you need  emergency daycare service we can help just give our daycare office a call.
located south ozone park 11420 near A and J train q37 q41 bus 
________________________________________________________
Do you have a  appointment need last minute daycare? we are here to help. You can use a few hours or full day
Walk-In or DRop-in child Care No Contracts you can use 1 or as many days as you need on a needed basis

please mention the cl ad ""walk in "" when calling. Open monday through sunday 24 hours 



we now introduce to you walk in care with no contracts you can use as many days as you need when ever you need we are always here to help and open our doors with welcoming arms to you and your bundle of joy

we are open most days public schools and regular day care are close
_______________________________________________
call for more info 
 
 between 8am-8pm don't forget to mention cl ad ""walk in"" must have immunization form signed and stamped by doctor before using drop-in care. affordable rates age 6 weeks and up welcome



you receive free meals, large outdoor playground weather permitting, they lean math, reading, writing, art n craft, dramatic play , circle time all age appropriate and more this is just a short over view of services we provide

    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6300081052.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 1 year of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment

Accepting all vouchers and  cash payments
NYC Department  of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6302708710.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 1 year of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment
After school pick up 

Accepting all vouchers and  cash payments
NYC Department  of Health Certified
phone:
 
 
Ask for Cynthia



    "
Experienced Child Care Provider,https://newyork.craigslist.org/que/kid/d/experienced-child-care/6302699022.html,Long Island City Queens,"
        
Building Hope Family Daycare

Affordable care
Experienced child care provider
Accepting children from 1 year of age  through 12 years of age 
Planned activities
Nutritious meals
Structured environment
After school pick up

Accepting all vouchers and  cash payments
NYC Department  of Health Certified
phone:
 
 
Ask for Cynthia



    "
License Daycare with Transportation!!,https://newyork.craigslist.org/que/kid/d/license-daycare-with/6302679947.html,4 All Ages Welcome,"
        
Daycare with  Transportation to and from our daycare for our clients for all ages !!!! 
licensed trained and professionals daycare with many credentials !!! 
Enroll now and start we are flexible with hours 

open 24 hours 6 days a week (mon-sat)
license daycare 
*free meals 
*abc's
*trips
*hra vouchers welcome
*transportation rat eased on distance from facility 
*located south ozone park 11420 zip code
*after-school, homework help, tutoring program
*evening & overnight program 
*weekend care
*last minute, emergence drop-in care 
*parent night out 
*potty train no added fee 
*toddler program
*infant program
*preschool program
*wonderful clean  daycare 


For more information, or to visit our center and register,
call daycare admission office call between 8am-8pm 
 
  leave a detail message if we are unavailable 
Location:11420 zip south ozone park
    "
