Title,URL,Address,Description
💙 LICENSED DAYCARE / PRESCHOOL 💚 FOR 2MTHS-5YRS 💜,https://newyork.craigslist.org/brk/kid/d/licensed-daycare-preschool/6316719400.html,Fulton St. A & C train B25 B47 B46,"
        
    "
Spanish Nanny Available PT,https://newyork.craigslist.org/mnh/kid/d/spanish-nanny-available-pt/6292831591.html,Brooklyn,"
        

Hi

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR. I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also.

My typical day would consist of going to the library for reading flash cards and socialization. Can take to the museum and the park weather permitting. I can teach Spanish if you'd like. Looking to work in many places. Williamsburg Park Slope UWS LES East Village etc.


My schedule is:

Mondays off

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    "
Looking For a Toddler,https://newyork.craigslist.org/brk/kid/d/looking-for-toddler/6277768140.html,New York,"
        

Hi

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR. I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also.

My typical day would consist of going to the library for reading flash cards and socialization. Can take to the museum and the park weather permitting. I can teach Spanish if you'd like. Looking to work in many places. Williamsburg Park Slope UWS LES East Village etc.


My schedule is:

Mondays off

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    "
SCREENED NANNY AVAILABLE PT,https://newyork.craigslist.org/mnh/kid/d/screened-nanny-available-pt/6283088752.html,Brooklyn,"
        

Hi

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR. I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also.

My typical day would consist of going to the library for reading flash cards and socialization. Can take to the museum and the park weather permitting. I can teach Spanish if you'd like. Looking to work in many places. Williamsburg Park Slope UWS LES East Village etc.


My schedule is:

Mondays off

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    "
Bilingual Life Skills Coach available pt,https://newyork.craigslist.org/mnh/kid/d/bilingual-life-skills-coach/6307685654.html,Brooklyn,"
        

Hi everyone

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR. I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also.

My typical day would consist of going to the library for reading flash cards and socialization. Can take to the museum and the park weather permitting. I can teach Spanish if you'd like. Looking to work in many places. Williamsburg Park Slope UWS LES East Village etc.

I am also a PA love booking travel, paying bills ordering online running errands and doing Airbnb is my second favorite childcare is tops!


My schedule is:

Mondays available all day

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    "
Spanish Nanny Available PT,https://newyork.craigslist.org/mnh/kid/d/spanish-nanny-available-pt/6278055638.html,Brooklyn,"
        

Hi

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR. I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also.

My typical day would consist of going to the library for reading flash cards and socialization. Can take to the museum and the park weather permitting. I can teach Spanish if you'd like. Looking to work in many places. Williamsburg Park Slope UWS LES East Village etc.


My schedule is:

Mondays off

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    "
Bilingual Life Skills Coach available pt,https://newyork.craigslist.org/mnh/kid/d/bilingual-life-skills-coach/6289817331.html,Brooklyn,"
        
Hi

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR. I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also. I was evaluated by an agency and passed with high marks. 

My typical day would consist of going to the library for lots of reading flash cards and socialization. Can take to the museum and the park weather permitting. I can also teach Spanish if you'd like. I'm a warm fit woman who's into eating healthy and exercising. Also love to cook healthy foods.


My schedule is:

Mondays off

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    "
Spanish Nanny Available PT,https://newyork.craigslist.org/mnh/kid/d/spanish-nanny-available-pt/6307686313.html,New York,"
        

Hi everyone

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR. I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also.

My typical day would consist of going to the library for reading flash cards and socialization. Can take to the museum and the park weather permitting. I can teach Spanish if you'd like. Looking to work in many places. Williamsburg Park Slope UWS LES East Village etc.

I am also a PA love booking travel, paying bills ordering online running errands and doing Airbnb is my second favorite childcare is tops!


My schedule is:

Mondays I'm available all day

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    "
ALL IN ONE AVAILABLE PT,https://newyork.craigslist.org/mnh/kid/d/all-in-one-available-pt/6304045803.html,New York,"
        

Hi everyone

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR. I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also.

My typical day would consist of going to the library for reading flash cards and socialization. Can take to the museum and the park weather permitting. I can teach Spanish if you'd like. Looking to work in many places. Williamsburg Park Slope UWS LES East Village etc.

I am also a PA love booking travel, paying bills ordering online running errands and doing Airbnb is my second favorite childcare is tops!


My schedule is:

Mondays available all day

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    "
EMERGENCY SITTER AVAILABLE,https://newyork.craigslist.org/brx/kid/d/emergency-sitter-available/6297978324.html,Brooklyn,"
        

Hi Everyone

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR. I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also. 

Right now I'm working with 2 children in Windsor Terrace in the mornings and tomorrow will be my last day. One goes back to school and their regular Nanny will pick him up. Currently looking to help another family.

My typical day would consist of going to the library for reading flash cards and socialization. Can take to the museum and the park weather permitting. I can teach Spanish if you'd like. Looking to work in many places. Williamsburg Park Slope UWS LES East Village etc.


My schedule is:

Mondays off

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    "
